,participant,filepath,accuracy,frequency,configuration,frequency_start,frequency_end
100,data_b,data_b\2023-02-23T09-57-46 text 1.edf,0.875,12.5,1Hz width 11 channels,12,13
101,data_b,data_b\2023-02-23T09-57-46 text 1.edf,1.0,12.5,1Hz width 11 channels,12,13
102,data_b,data_b\2023-02-23T09-57-46 text 1.edf,1.0,12.5,1Hz width 11 channels,12,13
103,data_b,data_b\2023-02-23T09-57-46 text 1.edf,0.875,12.5,1Hz width 11 channels,12,13
104,data_b,data_b\2023-02-23T09-57-46 text 1.edf,1.0,12.5,1Hz width 11 channels,12,13
105,data_b,data_b\2023-02-23T09-57-46 text 1.edf,0.625,12.5,1Hz width 11 channels,12,13
106,data_b,data_b\2023-02-23T09-57-46 text 1.edf,0.75,12.5,1Hz width 11 channels,12,13
107,data_b,data_b\2023-02-23T09-57-46 text 1.edf,0.875,12.5,1Hz width 11 channels,12,13
108,data_b,data_b\2023-02-23T09-57-46 text 1.edf,0.875,12.5,1Hz width 11 channels,12,13
109,data_b,data_b\2023-02-23T09-57-46 text 1.edf,0.875,12.5,1Hz width 11 channels,12,13
110,data_b,data_b\2023-02-23T09-57-46 text 1.edf,0.625,13.5,1Hz width 11 channels,13,14
111,data_b,data_b\2023-02-23T09-57-46 text 1.edf,0.625,13.5,1Hz width 11 channels,13,14
112,data_b,data_b\2023-02-23T09-57-46 text 1.edf,0.75,13.5,1Hz width 11 channels,13,14
113,data_b,data_b\2023-02-23T09-57-46 text 1.edf,0.625,13.5,1Hz width 11 channels,13,14
114,data_b,data_b\2023-02-23T09-57-46 text 1.edf,0.75,13.5,1Hz width 11 channels,13,14
115,data_b,data_b\2023-02-23T09-57-46 text 1.edf,0.75,13.5,1Hz width 11 channels,13,14
116,data_b,data_b\2023-02-23T09-57-46 text 1.edf,0.875,13.5,1Hz width 11 channels,13,14
117,data_b,data_b\2023-02-23T09-57-46 text 1.edf,0.875,13.5,1Hz width 11 channels,13,14
118,data_b,data_b\2023-02-23T09-57-46 text 1.edf,0.75,13.5,1Hz width 11 channels,13,14
119,data_b,data_b\2023-02-23T09-57-46 text 1.edf,0.625,13.5,1Hz width 11 channels,13,14
120,data_b,data_b\2023-02-23T09-57-46 text 1.edf,0.75,14.5,1Hz width 11 channels,14,15
121,data_b,data_b\2023-02-23T09-57-46 text 1.edf,0.875,14.5,1Hz width 11 channels,14,15
122,data_b,data_b\2023-02-23T09-57-46 text 1.edf,0.875,14.5,1Hz width 11 channels,14,15
123,data_b,data_b\2023-02-23T09-57-46 text 1.edf,0.75,14.5,1Hz width 11 channels,14,15
124,data_b,data_b\2023-02-23T09-57-46 text 1.edf,0.625,14.5,1Hz width 11 channels,14,15
125,data_b,data_b\2023-02-23T09-57-46 text 1.edf,0.5,14.5,1Hz width 11 channels,14,15
126,data_b,data_b\2023-02-23T09-57-46 text 1.edf,0.5,14.5,1Hz width 11 channels,14,15
127,data_b,data_b\2023-02-23T09-57-46 text 1.edf,1.0,14.5,1Hz width 11 channels,14,15
128,data_b,data_b\2023-02-23T09-57-46 text 1.edf,0.875,14.5,1Hz width 11 channels,14,15
129,data_b,data_b\2023-02-23T09-57-46 text 1.edf,0.375,14.5,1Hz width 11 channels,14,15
130,data_b,data_b\2023-02-23T09-57-46 text 1.edf,1.0,15.5,1Hz width 11 channels,15,16
131,data_b,data_b\2023-02-23T09-57-46 text 1.edf,0.75,15.5,1Hz width 11 channels,15,16
132,data_b,data_b\2023-02-23T09-57-46 text 1.edf,0.625,15.5,1Hz width 11 channels,15,16
133,data_b,data_b\2023-02-23T09-57-46 text 1.edf,0.625,15.5,1Hz width 11 channels,15,16
134,data_b,data_b\2023-02-23T09-57-46 text 1.edf,0.625,15.5,1Hz width 11 channels,15,16
135,data_b,data_b\2023-02-23T09-57-46 text 1.edf,0.75,15.5,1Hz width 11 channels,15,16
136,data_b,data_b\2023-02-23T09-57-46 text 1.edf,0.75,15.5,1Hz width 11 channels,15,16
137,data_b,data_b\2023-02-23T09-57-46 text 1.edf,0.75,15.5,1Hz width 11 channels,15,16
138,data_b,data_b\2023-02-23T09-57-46 text 1.edf,0.5,15.5,1Hz width 11 channels,15,16
139,data_b,data_b\2023-02-23T09-57-46 text 1.edf,0.625,15.5,1Hz width 11 channels,15,16
140,data_b,data_b\2023-02-23T09-57-46 text 1.edf,0.875,16.5,1Hz width 11 channels,16,17
141,data_b,data_b\2023-02-23T09-57-46 text 1.edf,0.625,16.5,1Hz width 11 channels,16,17
142,data_b,data_b\2023-02-23T09-57-46 text 1.edf,0.625,16.5,1Hz width 11 channels,16,17
143,data_b,data_b\2023-02-23T09-57-46 text 1.edf,0.75,16.5,1Hz width 11 channels,16,17
144,data_b,data_b\2023-02-23T09-57-46 text 1.edf,0.125,16.5,1Hz width 11 channels,16,17
145,data_b,data_b\2023-02-23T09-57-46 text 1.edf,0.25,16.5,1Hz width 11 channels,16,17
146,data_b,data_b\2023-02-23T09-57-46 text 1.edf,0.125,16.5,1Hz width 11 channels,16,17
147,data_b,data_b\2023-02-23T09-57-46 text 1.edf,0.375,16.5,1Hz width 11 channels,16,17
148,data_b,data_b\2023-02-23T09-57-46 text 1.edf,0.375,16.5,1Hz width 11 channels,16,17
149,data_b,data_b\2023-02-23T09-57-46 text 1.edf,0.75,16.5,1Hz width 11 channels,16,17
150,data_b,data_b\2023-02-23T09-57-46 text 1.edf,0.25,17.5,1Hz width 11 channels,17,18
151,data_b,data_b\2023-02-23T09-57-46 text 1.edf,0.75,17.5,1Hz width 11 channels,17,18
152,data_b,data_b\2023-02-23T09-57-46 text 1.edf,0.5,17.5,1Hz width 11 channels,17,18
153,data_b,data_b\2023-02-23T09-57-46 text 1.edf,0.375,17.5,1Hz width 11 channels,17,18
154,data_b,data_b\2023-02-23T09-57-46 text 1.edf,0.375,17.5,1Hz width 11 channels,17,18
155,data_b,data_b\2023-02-23T09-57-46 text 1.edf,0.375,17.5,1Hz width 11 channels,17,18
156,data_b,data_b\2023-02-23T09-57-46 text 1.edf,0.25,17.5,1Hz width 11 channels,17,18
157,data_b,data_b\2023-02-23T09-57-46 text 1.edf,0.625,17.5,1Hz width 11 channels,17,18
158,data_b,data_b\2023-02-23T09-57-46 text 1.edf,0.5,17.5,1Hz width 11 channels,17,18
159,data_b,data_b\2023-02-23T09-57-46 text 1.edf,0.375,17.5,1Hz width 11 channels,17,18
160,data_b,data_b\2023-02-23T09-57-46 text 1.edf,0.5,18.5,1Hz width 11 channels,18,19
161,data_b,data_b\2023-02-23T09-57-46 text 1.edf,0.625,18.5,1Hz width 11 channels,18,19
162,data_b,data_b\2023-02-23T09-57-46 text 1.edf,0.375,18.5,1Hz width 11 channels,18,19
163,data_b,data_b\2023-02-23T09-57-46 text 1.edf,0.5,18.5,1Hz width 11 channels,18,19
164,data_b,data_b\2023-02-23T09-57-46 text 1.edf,0.5,18.5,1Hz width 11 channels,18,19
165,data_b,data_b\2023-02-23T09-57-46 text 1.edf,0.5,18.5,1Hz width 11 channels,18,19
166,data_b,data_b\2023-02-23T09-57-46 text 1.edf,0.25,18.5,1Hz width 11 channels,18,19
167,data_b,data_b\2023-02-23T09-57-46 text 1.edf,0.625,18.5,1Hz width 11 channels,18,19
168,data_b,data_b\2023-02-23T09-57-46 text 1.edf,0.125,18.5,1Hz width 11 channels,18,19
169,data_b,data_b\2023-02-23T09-57-46 text 1.edf,0.5,18.5,1Hz width 11 channels,18,19
170,data_b,data_b\2023-02-23T09-57-46 text 1.edf,0.5,19.5,1Hz width 11 channels,19,20
171,data_b,data_b\2023-02-23T09-57-46 text 1.edf,0.5,19.5,1Hz width 11 channels,19,20
172,data_b,data_b\2023-02-23T09-57-46 text 1.edf,0.625,19.5,1Hz width 11 channels,19,20
173,data_b,data_b\2023-02-23T09-57-46 text 1.edf,0.5,19.5,1Hz width 11 channels,19,20
174,data_b,data_b\2023-02-23T09-57-46 text 1.edf,0.125,19.5,1Hz width 11 channels,19,20
175,data_b,data_b\2023-02-23T09-57-46 text 1.edf,0.5,19.5,1Hz width 11 channels,19,20
176,data_b,data_b\2023-02-23T09-57-46 text 1.edf,0.375,19.5,1Hz width 11 channels,19,20
177,data_b,data_b\2023-02-23T09-57-46 text 1.edf,0.25,19.5,1Hz width 11 channels,19,20
178,data_b,data_b\2023-02-23T09-57-46 text 1.edf,0.25,19.5,1Hz width 11 channels,19,20
179,data_b,data_b\2023-02-23T09-57-46 text 1.edf,0.5,19.5,1Hz width 11 channels,19,20
